iter	RMSE
0	0.383196832
1	0.367285847
2	0.3526104195
3	0.3381643482
4	0.3247218044
5	0.3118084053
6	0.2995441506
7	0.288147584
8	0.2775562806
9	0.267459822
10	0.2577257989
11	0.2485152138
12	0.2397746075
13	0.2315759511
14	0.2237501135
15	0.2164619782
16	0.2094545598
17	0.2028083186
18	0.1965028627
19	0.190967795
20	0.1854526508
21	0.1801957246
22	0.1754816579
23	0.171157904
24	0.166905549
25	0.1628656771
26	0.1593341836
27	0.1557976571
28	0.1525007855
29	0.1495792854
30	0.1467926485
31	0.1440926135
32	0.1416186839
33	0.1392600623
34	0.1370874522
35	0.1350267184
36	0.1332275845
37	0.1314687615
38	0.1298004392
39	0.1281634463
40	0.1267060961
41	0.12539343
42	0.1241305251
43	0.1230631524
44	0.122015641
45	0.1210013541
46	0.1200838047
47	0.1192795439
48	0.1184705144
49	0.117697351
50	0.1169588216
51	0.1163212005
52	0.1156722616
53	0.1151001775
54	0.1146086671
55	0.1141036656
56	0.1136313681
57	0.1133142691
58	0.1129377769
59	0.1125730571
60	0.1122698133
61	0.1119077719
62	0.111611624
63	0.1113333139
64	0.1110771898
65	0.1108334316
66	0.1106231791
67	0.1104165095
68	0.1102449162
69	0.1100670082
70	0.1099374949
71	0.1097666755
72	0.1096195575
73	0.1095046763
74	0.109351609
75	0.1092443893
76	0.1091556646
77	0.1090299027
78	0.1088708295
79	0.1087775429
80	0.1086317169
81	0.1085286138
82	0.1084477591
83	0.1083281615
84	0.10821645
85	0.1081622393
86	0.1081076473
87	0.1080162193
88	0.1079533683
89	0.1078700445
90	0.1078283078
91	0.1077736255
92	0.107673404
93	0.1076060255
94	0.1075482236
95	0.1074705469
96	0.1074063205
97	0.1073247697
98	0.107251932
99	0.1071621837
100	0.1070893382
101	0.1070003427
102	0.1069155222
103	0.1068545628
104	0.1067987535
105	0.1067478093
106	0.1066736889
107	0.1065576847
108	0.1065038489
109	0.1064639156
110	0.1064265254
111	0.1063602477
112	0.1063151517
113	0.106288936
114	0.1062261944
115	0.1061924426
116	0.1061391487
117	0.1060732896
118	0.1060346686
119	0.1060147338
120	0.1059789214
121	0.1059130751
122	0.1058877425
123	0.1058236048
124	0.105780664
125	0.1057147476
126	0.1056732685
127	0.1056383917
128	0.1055822371
129	0.1055408228
130	0.105461409
131	0.1054086389
132	0.1053567352
133	0.1053104676
134	0.1052598175
135	0.1051827875
136	0.1051475414
137	0.1051022521
